buying,maint,doors,persons,lug_boot,safety,class
vhigh,vhigh,2,2,small,low,unacc
vhigh,vhigh,2,2,small,med,unacc
vhigh,vhigh,2,2,small,high,unacc
vhigh,vhigh,2,2,med,low,unacc
vhigh,vhigh,2,2,med,med,unacc
vhigh,vhigh,2,2,med,high,unacc
vhigh,vhigh,2,2,big,low,unacc
vhigh,vhigh,2,2,big,med,unacc
vhigh,vhigh,2,2,big,high,unacc
low,low,5more,more,big,high,vgood
low,low,5more,more,big,med,good
low,low,5more,4,big,high,vgood
low,med,4,4,med,high,good
med,med,4,more,big,high,good
high,high,3,4,med,med,acc
high,med,4,2,med,med,unacc
med,med,4,4,small,low,unacc
